GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2009,y2010,y2011
"Country_of_Origin_of_Parents","europe","Europe, Canada & Australia",0,"Akron, OH",10420,.28116465,.21824195,.18766223
"Poverty_Income_and_Benefit_Receipt","pov200","In families below 200% of the poverty line",0,"Akron, OH",10420,.40249039,.44035031,.42074753
"Poverty_Income_and_Benefit_Receipt","LIWF","In low income working families",0,"Akron, OH",10420,.31088275,.32156333,.35892888
"Family_Structure","onekid","One child in family",0,"Akron, OH",10420,.19756515,.18088228,.16728673
"Education","NIS35","Who are not in school, age 3 to 5",0,"Akron, OH",10420,.06044262,.08850629,.0980957
"Poverty_Income_and_Benefit_Receipt","pov100","In families below 100% of the poverty line",0,"Akron, OH",10420,.14627598,.22313318,.20613428
"Education","HS","With parents who have a high school degree",0,"Akron, OH",10420,.32819516,.30115992,.230706
"Country_of_Origin_of_Parents","seAsia","Southeast Asia",0,"Akron, OH",10420,.08045179,.11841431,.09197093
"Poverty_Income_and_Benefit_Receipt","home","Household owns Home",0,"Akron, OH",10420,.73161135,.66660456,.5995847
"Country_of_Origin_of_Parents","mexico","Mexico",0,"Akron, OH",10420,.10086562,.11445474,.12424295
"Country_of_Origin_of_Parents","southAmerica","South America",0,"Akron, OH",10420,.0251354,.0196115,.01414605
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Akron, OH",10420,.18752025,.1474356,.14807925
"Education","NIS617","Who are not in school, age 6 to 17",0,"Akron, OH",10420,.00506005,.01347865,.03764648
"Education","col","With parents who have at least four year college degree",0,"Akron, OH",10420,.61871036,.5590907,.57773836
"English_Proficiency","oneleppar","At least one Limited English Proficient Parent",0,"Akron, OH",10420,.39077906,.49010109,.49260253
"Education","age0_3","Age 0 to 3",0,"Akron, OH",10420,.07410202,.06379794,.07877525
"Education","age4_5","Age 4 to 5",0,"Akron, OH",10420,.07469204,.07037007,.0773425
"Population","Share","Children of Immigrants, Share",0,"Albany-Schenectady-Troy, NY",10580,.11340747,.11756568,.11721169
"Population","perChange","Percentage Change in the Number of Children of Immigrants",0,"Albany-Schenectady-Troy, NY",10580,,.04761905,0
"Poverty_Income_and_Benefit_Receipt","LIWF","In low income working families",0,"Albany-Schenectady-Troy, NY",10580,.22939556,.33139248,.35150262
"Education","col","With parents who have at least four year college degree",0,"Albany-Schenectady-Troy, NY",10580,.59378614,.54047854,.4634313
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Albany-Schenectady-Troy, NY",10580,.12243758,.16526142,.16715794
"Poverty_Income_and_Benefit_Receipt","pov200","In families below 200% of the poverty line",0,"Albany-Schenectady-Troy, NY",10580,.29271693,.38885476,.44522853
"Poverty_Income_and_Benefit_Receipt","work","Working Family",0,"Albany-Schenectady-Troy, NY",10580,.89135922,.93787555,.8773331
"English_Proficiency","eppars","English Proficient Parents",0,"Albany-Schenectady-Troy, NY",10580,.64904648,.62466531,.64465018
"Family_Structure","onekid","One child in family",0,"Albany-Schenectady-Troy, NY",10580,.28852591,.28103526,.21913023
"Poverty_Income_and_Benefit_Receipt","pov100","In families below 100% of the poverty line",0,"Albany-Schenectady-Troy, NY",10580,.10169852,.18000678,.24725485
"Country_of_Origin_of_Parents","mexico","Mexico",0,"Albany-Schenectady-Troy, NY",10580,.02367417,.04816235,.06627233
"English_Proficiency","engPro","Who are English Proficient",0,"Albany-Schenectady-Troy, NY",10580,.92446341,.9240256,.93810221
"Poverty_Income_and_Benefit_Receipt","home","Household owns Home",0,"Albany-Schenectady-Troy, NY",10580,.62059993,.59173277,.53339187
"Country_of_Origin_of_Parents","Africa","Africa",0,"Albany-Schenectady-Troy, NY",10580,.19807917,.20241776,.15524913
"Country_of_Origin_of_Parents","europe","Europe, Canada & Australia",0,"Albany-Schenectady-Troy, NY",10580,.29531632,.20175172,.24896879
"Country_of_Origin_of_Parents","eAsia","East Asia & Pacific",0,"Albany-Schenectady-Troy, NY",10580,.11094529,.11007482,.14067338
"Family_Structure","threekid","Three children in family",0,"Albany-Schenectady-Troy, NY",10580,.26251611,.27137895,.27333689
"English_Proficiency","limEng","With Limited English Proficiency",0,"Albany-Schenectady-Troy, NY",10580,.07553659,.0759744,.06189779
"English_Proficiency","oneleppar","At least one Limited English Proficient Parent",0,"Albany-Schenectady-Troy, NY",10580,.35095352,.37533469,.35534982
"Education","NIS617","Who are not in school, age 6 to 17",0,"Albany-Schenectady-Troy, NY",10580,.01700015,.01796847,.01355325
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Albany-Schenectady-Troy, NY",10580,.73519452,.71760855,.69580823
"Education","HS","With parents who have a high school degree",0,"Albany-Schenectady-Troy, NY",10580,.36373587,.39857224,.46395133
"Country_of_Origin_of_Parents","seAsia","Southeast Asia",0,"Albany-Schenectady-Troy, NY",10580,.01821733,.02285112,.00762461
"English_Proficiency","linIso","Who live in Linguistically Isolated Households",0,"Albany-Schenectady-Troy, NY",10580,.10586168,.12686873,.14035345
"Education","lTHS","With parents who have less than a high school degree",0,"Albany-Schenectady-Troy, NY",10580,.04247799,.06094921,.07261738
"Family_Structure","tPar","In two-parent families",0,"Albany-Schenectady-Troy, NY",10580,.89185213,.8744966,.84449063
"Education","NIS35","Who are not in school, age 3 to 5",0,"Albany-Schenectady-Troy, NY",10580,.08719072,.09670783,.07371792
"Family_Structure","sPar","In single parent families",0,"Albany-Schenectady-Troy, NY",10580,.10814787,.1255034,.15550937
"Family_Structure","fourkid","More than four children in family",0,"Albany-Schenectady-Troy, NY",10580,.03484406,.03107343,.0956796
"Citizenship","notCit","Who are not citizens",0,"Albany-Schenectady-Troy, NY",10580,.1423679,.11713004,.13703383
"Country_of_Origin_of_Parents","centralAmerica","Other Central America & Spanish Caribbean",0,"Albany-Schenectady-Troy, NY",10580,.0217535,.05614384,.04244146
"English_Proficiency","noeppars","No English Proficient Parents",0,"Albany-Schenectady-Troy, NY",10580,.16323914,.15800871,.17845222
"Country_of_Origin_of_Parents","midEast","The Middle East & South Asia",0,"Albany-Schenectady-Troy, NY",10580,.17116907,.21911568,.19844949
"Country_of_Origin_of_Parents","southAmerica","South America",0,"Albany-Schenectady-Troy, NY",10580,.16084516,.13948271,.14032081
"Family_Structure","twokid","Two children in famiy",0,"Albany-Schenectady-Troy, NY",10580,.41411393,.41651237,.41185327
"Education","age0_3","Age 0 to 3",0,"Albany-Schenectady-Troy, NY",10580,.109055,.15264183,.15726315
"Education","age4_5","Age 4 to 5",0,"Albany-Schenectady-Troy, NY",10580,.14186365,.16663978,.16600615
"Population","Share","Children of Immigrants, Share",0,"Albuquerque, NM",10740,.2135986,.22376017,.20929544
"Country_of_Origin_of_Parents","southAmerica","South America",0,"Albuquerque, NM",10740,.01389592,.02064102,.02238794
"Poverty_Income_and_Benefit_Receipt","LIWF","In low income working families",0,"Albuquerque, NM",10740,.51931109,.5444885,.59528168
"Family_Structure","onekid","One child in family",0,"Albuquerque, NM",10740,.17052831,.1645772,.18644531
"Poverty_Income_and_Benefit_Receipt","work","Working Family",0,"Albuquerque, NM",10740,.89056649,.90044341,.89953795
"Country_of_Origin_of_Parents","midEast","The Middle East & South Asia",0,"Albuquerque, NM",10740,.03984843,.03343993,.0359873
"Country_of_Origin_of_Parents","Africa","Africa",0,"Albuquerque, NM",10740,.02393373,.02329322,.0065983
"Country_of_Origin_of_Parents","mexico","Mexico",0,"Albuquerque, NM",10740,.72453116,.76460798,.78661987
"Education","col","With parents who have at least four year college degree",0,"Albuquerque, NM",10740,.20968827,.19365565,.15551174
"Education","NIS617","Who are not in school, age 6 to 17",0,"Albuquerque, NM",10740,.01514009,.02139509,.01181613
"English_Proficiency","limEng","With Limited English Proficiency",0,"Albuquerque, NM",10740,.18720396,.1318117,.13802605
"Country_of_Origin_of_Parents","eAsia","East Asia & Pacific",0,"Albuquerque, NM",10740,.05010735,.04932958,.05406889
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Albuquerque, NM",10740,.40672345,.36193652,.37896683
"English_Proficiency","oneleppar","At least one Limited English Proficient Parent",0,"Albuquerque, NM",10740,.63652915,.6287207,.70279259
"Country_of_Origin_of_Parents","centralAmerica","Other Central America & Spanish Caribbean",0,"Albuquerque, NM",10740,.04100362,.02645355,.03831279
"English_Proficiency","engPro","Who are English Proficient",0,"Albuquerque, NM",10740,.81279604,.8681883,.86197395
"Education","NIS35","Who are not in school, age 3 to 5",0,"Albuquerque, NM",10740,.13028483,.10774119,.08935604
"Family_Structure","sPar","In single parent families",0,"Albuquerque, NM",10740,.19341314,.16454581,.142987
"Education","lTHS","With parents who have less than a high school degree",0,"Albuquerque, NM",10740,.40364275,.35781208,.32553017
"Family_Structure","twokid","Two children in famiy",0,"Albuquerque, NM",10740,.39844076,.40661525,.39525917
"English_Proficiency","linIso","Who live in Linguistically Isolated Households",0,"Albuquerque, NM",10740,.31523015,.22717318,.2201856
"Poverty_Income_and_Benefit_Receipt","home","Household owns Home",0,"Albuquerque, NM",10740,.66540983,.6624422,.62825373
"Citizenship","notCit","Who are not citizens",0,"Albuquerque, NM",10740,.15905988,.14378781,.15145515
"Poverty_Income_and_Benefit_Receipt","pov100","In families below 100% of the poverty line",0,"Albuquerque, NM",10740,.26548705,.29573669,.36010432
"Country_of_Origin_of_Parents","europe","Europe, Canada & Australia",0,"Albuquerque, NM",10740,.07414383,.05750646,.03764654
"Education","HS","With parents who have a high school degree",0,"Albuquerque, NM",10740,.38666898,.44853228,.51895809
"English_Proficiency","eppars","English Proficient Parents",0,"Albuquerque, NM",10740,.36347085,.3712793,.29720741
"Country_of_Origin_of_Parents","seAsia","Southeast Asia",0,"Albuquerque, NM",10740,.03253596,.02472825,.01837837
"Family_Structure","fourkid","More than four children in family",0,"Albuquerque, NM",10740,.04476066,.05811289,.0811545
"Population","perChange","Percentage Change in the Number of Children of Immigrants",0,"Albuquerque, NM",10740,,.06666667,-.0625
"Family_Structure","tPar","In two-parent families",0,"Albuquerque, NM",10740,.80658686,.83545419,.857013
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Albuquerque, NM",10740,.43421668,.49427567,.46957802
"Poverty_Income_and_Benefit_Receipt","pov200","In families below 200% of the poverty line",0,"Albuquerque, NM",10740,.61914226,.64106467,.69445382
"English_Proficiency","noeppars","No English Proficient Parents",0,"Albuquerque, NM",10740,.48041468,.42269196,.44090818
"Family_Structure","threekid","Three children in family",0,"Albuquerque, NM",10740,.38627027,.37069466,.33714102
"Education","age0_3","Age 0 to 3",0,"Albuquerque, NM",10740,.20694637,.20546687,.19184151
"Education","age4_5","Age 4 to 5",0,"Albuquerque, NM",10740,.24835893,.24309593,.17546507
"Population","Share","Children of Immigrants, Share",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.1419687,.14703227,.17381254
"English_Proficiency","linIso","Who live in Linguistically Isolated Households",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.17113869,.15171948,.1642281
"Citizenship","notCit","Who are not citizens",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.15602524,.0747725,.05829346
"Poverty_Income_and_Benefit_Receipt","LIWF","In low income working families",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.30866726,.28928028,.30772446
"Poverty_Income_and_Benefit_Receipt","work","Working Family",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.91898837,.91701336,.88153963
"English_Proficiency","oneleppar","At least one Limited English Proficient Parent",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.50315503,.42729233,.40169074
"Education","NIS617","Who are not in school, age 6 to 17",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.0279088,.01011707,.00704857
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.67975987,.7154369,.72904764
"Country_of_Origin_of_Parents","seAsia","Southeast Asia",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.03296956,.04370866,.03410903
"English_Proficiency","engPro","Who are English Proficient",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.87639625,.88175037,.90198952
"Poverty_Income_and_Benefit_Receipt","pov200","In families below 200% of the poverty line",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.38743769,.36878471,.42324307
"English_Proficiency","noeppars","No English Proficient Parents",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.27397917,.26680189,.27445152
"Family_Structure","twokid","Two children in famiy",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.35760655,.42241079,.43366312
"Poverty_Income_and_Benefit_Receipt","home","Household owns Home",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.7688103,.74880313,.65386223
"Education","NIS35","Who are not in school, age 3 to 5",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.06753312,.0969391,.07965062
"Family_Structure","tPar","In two-parent families",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.84351445,.8270292,.74634214
"Country_of_Origin_of_Parents","midEast","The Middle East & South Asia",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.17386218,.135749,.10721972
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.16421489,.20979059,.21265889
"Country_of_Origin_of_Parents","centralAmerica","Other Central America & Spanish Caribbean",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.15337847,.18917882,.23811293
"Family_Structure","onekid","One child in family",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.2032536,.22795667,.17000325
"Education","lTHS","With parents who have less than a high school degree",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.06097163,.07440705,.14995278
"Country_of_Origin_of_Parents","europe","Europe, Canada & Australia",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.21130056,.20292,.19542632
"English_Proficiency","limEng","With Limited English Proficiency",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.12360375,.11824963,.09801048
"Country_of_Origin_of_Parents","mexico","Mexico",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.05535204,.05441655,.0644557
"Family_Structure","threekid","Three children in family",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.37147881,.32025365,.37654636
"Education","col","With parents who have at least four year college degree",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.44009283,.44256843,.35846223
"Family_Structure","sPar","In single parent families",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.15648555,.1729708,.25365786
"Country_of_Origin_of_Parents","Africa","Africa",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.12595178,.16058181,.13052162
"Country_of_Origin_of_Parents","southAmerica","South America",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.15552657,.14671271,.15024695
"Country_of_Origin_of_Parents","eAsia","East Asia & Pacific",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.09165883,.06673245,.07990772
"Family_Structure","fourkid","More than four children in family",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.06766104,.02937888,.01978726
"Education","HS","With parents who have a high school degree",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.49893554,.48302452,.49158499
"Population","perChange","Percentage Change in the Number of Children of Immigrants",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,,.03846154,.18518518
"English_Proficiency","eppars","English Proficient Parents",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.49684497,.57270767,.59830926
"Poverty_Income_and_Benefit_Receipt","pov100","In families below 100% of the poverty line",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.14102168,.13619119,.20086085
"Education","age0_3","Age 0 to 3",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.14333649,.15958138,.17013889
"Education","age4_5","Age 4 to 5",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.16524841,.16358527,.15774617
"Population","Share","Children of Immigrants, Share",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.23493677,.24270077,.24192461
"Country_of_Origin_of_Parents","seAsia","Southeast Asia",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.0447227,.04660598,.04541918
"Family_Structure","onekid","One child in family",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.19194984,.1938035,.2010974
"English_Proficiency","noeppars","No English Proficient Parents",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.4048522,.40162387,.40085706
"Education","NIS617","Who are not in school, age 6 to 17",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.01840871,.0207536,.0188555
"Education","col","With parents who have at least four year college degree",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.38076047,.38639562,.37412077
"Poverty_Income_and_Benefit_Receipt","LIWF","In low income working families",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.46122,.45755545,.45559261
"Education","NIS35","Who are not in school, age 3 to 5",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.10366442,.09391511,.09273451
"Poverty_Income_and_Benefit_Receipt","home","Household owns Home",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.61926529,.5991594,.5834932
"Country_of_Origin_of_Parents","Africa","Africa",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.18808705,.20046963,.19776209
"English_Proficiency","limEng","With Limited English Proficiency",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.11853161,.1233387,.13205373
"English_Proficiency","engPro","Who are English Proficient",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.88146839,.8766613,.86794627
"Education","lTHS","With parents who have less than a high school degree",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.2108568,.21147126,.2287504
"English_Proficiency","oneleppar","At least one Limited English Proficient Parent",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.5682644,.54498197,.54605601
"Family_Structure","tPar","In two-parent families",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.81850691,.80599146,.81060677
"Citizenship","notCit","Who are not citizens",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.1636626,.15392754,.12760665
"Poverty_Income_and_Benefit_Receipt","pov200","In families below 200% of the poverty line",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.52627172,.55384083,.55958391
"Poverty_Income_and_Benefit_Receipt","pov100","In families below 100% of the poverty line",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.24981296,.27290386,.28984757
"Country_of_Origin_of_Parents","eAsia","East Asia & Pacific",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.06982067,.07155856,.0855421
"Country_of_Origin_of_Parents","europe","Europe, Canada & Australia",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.10289374,.10011095,.09770032
"Poverty_Income_and_Benefit_Receipt","work","Working Family",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.93021772,.89818063,.89066079
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.36176861,.3625274,.35062125
"Population","perChange","Percentage Change in the Number of Children of Immigrants",0,"Atlanta-Sandy Springs-Marietta, GA",12060,,.01749271,-.03151862
"Education","HS","With parents who have a high school degree",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.40838273,.40213312,.39712883
"Country_of_Origin_of_Parents","mexico","Mexico",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.3303233,.30725106,.31819918
"Family_Structure","fourkid","More than four children in family",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.06979494,.06482956,.06094738
"English_Proficiency","linIso","Who live in Linguistically Isolated Households",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.27230411,.26791419,.25899842
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.47456879,.48354506,.5217721
"Family_Structure","sPar","In single parent families",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.18149309,.19400854,.18939323
"Country_of_Origin_of_Parents","midEast","The Middle East & South Asia",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.09534346,.09806424,.09147573
"Country_of_Origin_of_Parents","centralAmerica","Other Central America & Spanish Caribbean",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.09507359,.10640878,.10739821
"Country_of_Origin_of_Parents","southAmerica","South America",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.07373549,.0695308,.05650321
"English_Proficiency","eppars","English Proficient Parents",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.4317356,.45501803,.45394399
"Family_Structure","twokid","Two children in famiy",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.37335308,.38399537,.38985266
"Family_Structure","threekid","Three children in family",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.36490214,.35737157,.34810256
"Education","age0_3","Age 0 to 3",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.28208813,.28097486,.26552194
"Education","age4_5","Age 4 to 5",0,"Atlanta-Sandy Springs-Marietta, GA",12060,.26373239,.26899187,.27056644
"Population","Share","Children of Immigrants, Share",0,"Augusta-Richmond County, GA-SC",12260,.05010494,.06475258,.07306258
"Poverty_Income_and_Benefit_Receipt","pov100","In families below 100% of the poverty line",0,"Augusta-Richmond County, GA-SC",12260,.18475698,.20475426,.22518779
"Poverty_Income_and_Benefit_Receipt","home","Household owns Home",0,"Augusta-Richmond County, GA-SC",12260,.73377249,.7363111,.60323108
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Augusta-Richmond County, GA-SC",12260,.60643609,.66546131,.70424606
"Citizenship","notCit","Who are not citizens",0,"Augusta-Richmond County, GA-SC",12260,.15599254,.11052225,.09927022
"Country_of_Origin_of_Parents","Africa","Africa",0,"Augusta-Richmond County, GA-SC",12260,.12638594,.1648096,.1662785
"Education","col","With parents who have at least four year college degree",0,"Augusta-Richmond County, GA-SC",12260,.49227724,.50053323,.35860033
"Education","HS","With parents who have a high school degree",0,"Augusta-Richmond County, GA-SC",12260,.34932145,.36196724,.45626794
"English_Proficiency","oneleppar","At least one Limited English Proficient Parent",0,"Augusta-Richmond County, GA-SC",12260,.39839433,.36593264,.33155987
"Education","NIS35","Who are not in school, age 3 to 5",0,"Augusta-Richmond County, GA-SC",12260,.08220832,.10687797,.10918229
"English_Proficiency","eppars","English Proficient Parents",0,"Augusta-Richmond County, GA-SC",12260,.60160567,.63406736,.66844013
"Country_of_Origin_of_Parents","midEast","The Middle East & South Asia",0,"Augusta-Richmond County, GA-SC",12260,.02451361,.05816163,.08464534
"Family_Structure","twokid","Two children in famiy",0,"Augusta-Richmond County, GA-SC",12260,.5348354,.48875937,.35200302
"Country_of_Origin_of_Parents","centralAmerica","Other Central America & Spanish Caribbean",0,"Augusta-Richmond County, GA-SC",12260,.11323328,.16508453,.19386717
"English_Proficiency","noeppars","No English Proficient Parents",0,"Augusta-Richmond County, GA-SC",12260,.20624155,.18483913,.20784091
"Poverty_Income_and_Benefit_Receipt","work","Working Family",0,"Augusta-Richmond County, GA-SC",12260,.95416282,.93258993,.93830838
"English_Proficiency","limEng","With Limited English Proficiency",0,"Augusta-Richmond County, GA-SC",12260,.17404628,.12694006,.07390633
"English_Proficiency","engPro","Who are English Proficient",0,"Augusta-Richmond County, GA-SC",12260,.82595372,.87305994,.92609367
"Poverty_Income_and_Benefit_Receipt","pov200","In families below 200% of the poverty line",0,"Augusta-Richmond County, GA-SC",12260,.40501179,.34813099,.5056565
"Country_of_Origin_of_Parents","eAsia","East Asia & Pacific",0,"Augusta-Richmond County, GA-SC",12260,.17087428,.16809695,.18843025
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Augusta-Richmond County, GA-SC",12260,.23757137,.22401645,.19648372
"Country_of_Origin_of_Parents","southAmerica","South America",0,"Augusta-Richmond County, GA-SC",12260,.02508411,.03810226,.04551787
"Family_Structure","tPar","In two-parent families",0,"Augusta-Richmond County, GA-SC",12260,.86749363,.85254438,.82063797
"Country_of_Origin_of_Parents","seAsia","Southeast Asia",0,"Augusta-Richmond County, GA-SC",12260,.08044748,.02471841,.00170192
"Education","lTHS","With parents who have less than a high school degree",0,"Augusta-Richmond County, GA-SC",12260,.15840131,.13749952,.18513173
"Country_of_Origin_of_Parents","europe","Europe, Canada & Australia",0,"Augusta-Richmond County, GA-SC",12260,.29707289,.22874421,.1723225
"Population","perChange","Percentage Change in the Number of Children of Immigrants",0,"Augusta-Richmond County, GA-SC",12260,,.2857143,.11111111
"Family_Structure","threekid","Three children in family",0,"Augusta-Richmond County, GA-SC",12260,.22195666,.24749769,.46684708
"English_Proficiency","linIso","Who live in Linguistically Isolated Households",0,"Augusta-Richmond County, GA-SC",12260,.17906158,.1421425,.08727551
"Family_Structure","onekid","One child in family",0,"Augusta-Richmond County, GA-SC",12260,.23982705,.24917641,.16823347
"Poverty_Income_and_Benefit_Receipt","LIWF","In low income working families",0,"Augusta-Richmond County, GA-SC",12260,.36041866,.28479055,.44757349
"Education","NIS617","Who are not in school, age 6 to 17",0,"Augusta-Richmond County, GA-SC",12260,.00597337,.00098609,.00853746
"Country_of_Origin_of_Parents","mexico","Mexico",0,"Augusta-Richmond County, GA-SC",12260,.16238841,.15228241,.14723645
"Family_Structure","fourkid","More than four children in family",0,"Augusta-Richmond County, GA-SC",12260,.00338088,.01456652,.01291642
"Family_Structure","sPar","In single parent families",0,"Augusta-Richmond County, GA-SC",12260,.13250637,.14745562,.17936203
"Education","age0_3","Age 0 to 3",0,"Augusta-Richmond County, GA-SC",12260,.05638909,.06889794,.0816865
"Education","age4_5","Age 4 to 5",0,"Augusta-Richmond County, GA-SC",12260,.05375985,.08916894,.10324439
"Population","Share","Children of Immigrants, Share",0,"Austin-Round Rock, TX",12420,.28452341,.29219084,.29355734
"Citizenship","notCit","Who are not citizens",0,"Austin-Round Rock, TX",12420,.16791686,.14183123,.13458048
