"cat","catnum","level","statcode","fips","abbrev","name","isstate","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022"
"main",1,1,"Share",16,"ID","Idaho",1,0.12011011,0.12736371,0.1328463,0.13685,0.13563675,0.13269398,0.13102549,0.13741423,0.13876231,0.12876813,0.12542601,0.12376212,0.1253864,0.12274713,0.12828024,0.12842065,0.12664771
"main",1,1,"Share",17,"IL","Illinois",1,0.23192246,0.24084382,0.24370313,0.24807259,0.25092119,0.25922862,0.26369151,0.26411018,0.26248008,0.26221466,0.26289693,0.26543969,0.27077949,0.26202309,0.25503373,0.26144934,0.2595875
"main",1,1,"Share",18,"IN","Indiana",1,0.06787435,0.07397737,0.07684549,0.08311496,0.08682094,0.08880112,0.09122575,0.09282991,0.09547408,0.09809972,0.10740294,0.11375294,0.11268204,0.11235834,0.11466566,0.11505378,0.12223791
"main",1,1,"Share",19,"IA","Iowa",1,0.06870098,0.07247663,0.07917555,0.0799724,0.08820367,0.09388095,0.08823075,0.09794442,0.10891561,0.10188476,0.10086171,0.10658079,0.11141404,0.11809168,0.11545307,0.11883875,0.12191988
"main",1,1,"Share",20,"KS","Kansas",1,0.11452699,0.12464085,0.12475079,0.12623072,0.13034908,0.14155805,0.14928086,0.14808089,0.15107054,0.15321296,0.15803553,0.15268001,0.15031472,0.15461892,0.14360182,0.15548374,0.1548744
"main",1,1,"Share",21,"KY","Kentucky",1,0.04095358,0.03988036,0.04526338,0.0534454,0.05872034,0.06361742,0.06850892,0.0715719,0.07067279,0.07336165,0.0761795,0.07311841,0.07829992,0.09100221,0.0883406,0.09066241,0.088091
"main",1,1,"Share",22,"LA","Louisiana",1,0.04200696,0.0452191,0.04932971,0.051161,0.05333776,0.05468209,0.05675664,0.06006144,0.0641302,0.0681154,0.07261416,0.07267392,0.07226854,0.07382086,0.07154218,0.0768337,0.0739795
"main",1,1,"Share",23,"ME","Maine",1,0.05195628,0.05950094,0.06269669,0.05813339,0.05956409,0.05926951,0.06321935,0.07060824,0.06498704,0.0622615,0.07357299,0.08064797,0.07001887,0.07086496,0.0704829,0.06711715,0.07290936
"main",1,1,"Share",24,"MD","Maryland",1,0.18623589,0.19728394,0.20970854,0.21926561,0.23064138,0.23525457,0.2403321,0.25044629,0.26077473,0.27116746,0.27650666,0.28175977,0.28862286,0.29414287,0.29867506,0.30264884,0.30990791
"main",1,1,"Share",25,"MA","Massachusetts",1,0.21820511,0.22004531,0.23173481,0.24078973,0.24806274,0.25289473,0.25606811,0.26969221,0.27493799,0.27776304,0.28598997,0.28608736,0.30197981,0.31248069,0.30319175,0.31896648,0.32453734
"main",1,1,"Share",26,"MI","Michigan",1,0.10053226,0.1030964,0.10272126,0.10229987,0.10517506,0.11019272,0.11822692,0.12265301,0.12401073,0.12558445,0.1279157,0.13144426,0.13448812,0.1330104,0.12874699,0.13582979,0.13547632
"main",1,1,"Share",27,"MN","Minnesota",1,0.12841704,0.1301793,0.13324112,0.14218485,0.15112199,0.15754943,0.16271925,0.16280873,0.16758358,0.18039165,0.18182431,0.18506171,0.19264367,0.19791104,0.19290456,0.19089018,0.19101787
"main",1,1,"Share",28,"MS","Mississippi",1,0.02595001,0.02457216,0.02609149,0.03255657,0.03318603,0.03489652,0.03560082,0.03578109,0.03760362,0.0399231,0.04277262,0.04474645,0.04546776,0.04717476,0.04913169,0.04861216,0.04429584
"main",1,1,"Share",29,"MO","Missouri",1,0.06104936,0.05871855,0.06311534,0.06776964,0.06669459,0.07136762,0.07183522,0.0705886,0.07228457,0.07235101,0.07900684,0.08135519,0.08027547,0.08211251,0.08021645,0.0848786,0.08190555
"main",1,1,"Share",30,"MT","Montana",1,0.03201967,0.03198148,0.03864708,0.04016798,0.03632588,0.03617818,0.03530453,0.02962634,0.03315622,0.03901665,0.03376272,0.03627097,0.04563887,0.03680992,0.03546692,0.05188418,0.0524592
"main",1,1,"Share",31,"NE","Nebraska",1,0.11439884,0.11431048,0.12343691,0.12984253,0.13020648,0.13147029,0.1484061,0.15465556,0.14187406,0.13671766,0.1431596,0.15927717,0.162112,0.16002998,0.17374784,0.1550426,0.15772101
"main",1,1,"Share",32,"NV","Nevada",1,0.33867794,0.36657888,0.36950558,0.36016008,0.36319372,0.37701586,0.37800911,0.37448549,0.37761426,0.37350646,0.37355533,0.37214574,0.36267588,0.36486894,0.35365826,0.34131137,0.34159896
"main",1,1,"Share",33,"NH","New Hampshire",1,0.09348322,0.08867851,0.08584397,0.09607479,0.1063132,0.1081244,0.10644716,0.10802133,0.10541551,0.10543453,0.10881029,0.10933615,0.11650439,0.11738048,0.1264828,0.12857772,0.11238042
"main",1,1,"Share",34,"NJ","New Jersey",1,0.29922745,0.3141062,0.31920397,0.32003093,0.33100843,0.34339771,0.35112911,0.36109903,0.36399025,0.3672033,0.37803799,0.39006841,0.40390727,0.40646237,0.40090555,0.4087078,0.4093546
"main",1,1,"Share",35,"NM","New Mexico",1,0.19213906,0.20640729,0.20349075,0.2048618,0.21317793,0.21298215,0.20890535,0.21998043,0.22312738,0.21546294,0.21874766,0.20115511,0.19335285,0.19976184,0.18342525,0.18917298,0.18482377
"main",1,1,"Share",36,"NY","New York",1,0.32239062,0.33068091,0.33650595,0.33629143,0.33729196,0.33859643,0.34762299,0.35627276,0.35599953,0.35977995,0.36742496,0.36744884,0.36700499,0.36645147,0.36250088,0.36636996,0.36899665
"main",1,1,"Share",37,"NC","North Carolina",1,0.12285766,0.13135673,0.14359625,0.15525641,0.16290033,0.16454467,0.1656477,0.17315488,0.18055195,0.18229721,0.18358605,0.18688866,0.18936297,0.19173026,0.18847518,0.19999747,0.19809023
"main",1,1,"Share",38,"ND","North Dakota",1,0.04667361,0.03218101,0.03488792,0.04911263,0.04022237,0.04007547,0.04703271,0.04652328,0.0594296,0.07062269,0.0643597,0.06260455,0.07748457,0.0752238,0.07282038,0.11720062,0.10517682
"main",1,1,"Share",39,"OH","Ohio",1,0.05103756,0.05281091,0.05790255,0.06332439,0.06755365,0.06724957,0.06606554,0.07038449,0.07244623,0.07284123,0.07513013,0.08079786,0.08630579,0.08889904,0.08925761,0.09498751,0.09824546
"main",1,1,"Share",40,"OK","Oklahoma",1,0.09119433,0.0967755,0.10216229,0.10778626,0.11399102,0.11709286,0.11423716,0.11426512,0.11960206,0.12971151,0.13129385,0.12208486,0.12825269,0.13629955,0.12817457,0.12519674,0.12952475
"main",1,1,"Share",41,"OR","Oregon",1,0.19200742,0.19878118,0.20745258,0.21035752,0.21873111,0.22542098,0.22619185,0.22949444,0.23170735,0.22224542,0.21870968,0.22796306,0.23651838,0.22950962,0.21674544,0.21994691,0.21701565
"main",1,1,"Share",42,"PA","Pennsylvania",1,0.08259547,0.08845588,0.09582365,0.09737541,0.10005776,0.10483556,0.10712225,0.11299644,0.11739718,0.11612563,0.12148022,0.1297895,0.13476016,0.13602263,0.13700765,0.14742342,0.14705093
"main",1,1,"Share",44,"RI","Rhode Island",1,0.23867871,0.2505765,0.25606984,0.23738545,0.23031297,0.23936349,0.23933935,0.24653943,0.25971508,0.2565476,0.26048535,0.26688862,0.26763517,0.26587936,0.29646239,0.27980635,0.28946504
"main",1,1,"Share",45,"SC","South Carolina",1,0.06678832,0.07394537,0.0779972,0.08539862,0.09138559,0.08894382,0.09040372,0.0928552,0.09586813,0.0981095,0.10270844,0.10509314,0.10736953,0.11585918,0.1166354,0.11550891,0.11473861
"main",1,1,"Share",46,"SD","South Dakota",1,0.03666986,0.03634641,0.04183765,0.04630091,0.04812195,0.05097584,0.04806469,0.04069794,0.05253974,0.06132681,0.0587449,0.0569186,0.05813569,0.05940859,0.07325061,0.06617063,0.06887718
"main",1,1,"Share",47,"TN","Tennessee",1,0.06926829,0.07439041,0.08411963,0.08988393,0.09368863,0.09987958,0.10074042,0.10070971,0.10599631,0.11091605,0.11649799,0.12110538,0.12046643,0.12200048,0.1148767,0.1331024,0.13180254
"main",1,1,"Share",48,"TX","Texas",1,0.3062934,0.30953294,0.31497478,0.32435748,0.33088261,0.33507591,0.33711639,0.33450198,0.33682355,0.33982745,0.33914399,0.34255862,0.34386435,0.339165,0.32660872,0.33681899,0.3318173
"main",1,1,"Share",49,"UT","Utah",1,0.14855599,0.15933381,0.16109198,0.15656152,0.15030079,0.15963131,0.16565566,0.16114214,0.16751952,0.16793981,0.16129743,0.16418327,0.16450305,0.15562381,0.14864716,0.16250955,0.16407292
"main",1,1,"Share",50,"VT","Vermont",1,0.03722082,0.04997718,0.06142749,0.06166022,0.06096428,0.06290349,0.05660794,0.05777796,0.06374358,0.06139052,0.06363414,0.07550441,0.07967568,0.07261568,0.07992622,0.09110073,0.07805727
"main",1,1,"Share",51,"VA","Virginia",1,0.16503663,0.16557853,0.17140315,0.18009453,0.19325307,0.20355017,0.20876837,0.21335346,0.2168792,0.2221874,0.22668156,0.23411614,0.2385661,0.24254313,0.23728074,0.2400661,0.23985009
"main",1,1,"Share",53,"WA","Washington",1,0.22319628,0.23226441,0.23602848,0.24248318,0.2567316,0.26846045,0.26799607,0.27556372,0.27240646,0.27249175,0.28411633,0.28837165,0.29306963,0.29482585,0.29532453,0.31156272,0.31089884
"main",1,1,"Share",54,"WV","West Virginia",1,0.02116472,0.01932845,0.02104848,0.01992913,0.0194137,0.02266153,0.02181838,0.02656547,0.02730455,0.02426486,0.02570512,0.02635393,0.02872286,0.02690762,0.02634226,0.033311,0.03506457
"main",1,1,"Share",55,"WI","Wisconsin",1,0.07591709,0.08026247,0.08890469,0.09604886,0.09822887,0.09879208,0.09722223,0.10387498,0.10470151,0.10640355,0.11336772,0.11064747,0.10908008,0.11333707,0.11815678,0.11393363,0.10983389
"main",1,1,"Share",56,"WY","Wyoming",1,0.04873941,0.04908784,0.04489445,0.0536243,0.05639508,0.05778338,0.06843949,0.08051556,0.07850193,0.0755276,0.07869228,0.08723379,0.08382741,0.07247546,0.06696444,0.07394331,0.07352292
"main",1,1,"Share",0,"US","United States",1,0.2177444,0.2219179,0.22615062,0.23083399,0.23483552,0.23749822,0.24067491,0.24404705,0.24508993,0.24707568,0.25064459,0.25256407,0.25364634,0.25293684,0.24838242,0.25356978,0.25322825
"main",1,1,"Share",10420,,"Akron, OH",0,0.04683841,0.04198324,0.05453055,0.0689218,0.06983498,0.0755552,0.08068683,0.06744635,0.05741023,0.07344877,0.06975543,0.0746553,0.09279072,0.09067055,0.08451056,0.09071343,0.10169473
"main",1,1,"Share",10580,,"Albany-Schenectady-Troy, NY",0,0.09422573,0.10366791,0.10838755,0.11426691,0.11840359,0.11802928,0.11297254,0.12764823,0.13839269,0.13716455,0.13533808,0.14043787,0.15036322,0.14522864,0.15701877,0.13154802,0.15733083
"main",1,1,"Share",10740,,"Albuquerque, NM",0,0.2010619,0.20961113,0.20005235,0.21740915,0.22968198,0.21272673,0.20228837,0.23250286,0.23685457,0.21890542,0.21346262,0.17428657,0.16317245,0.18573645,0.17648566,0.15569876,0.16028374
"main",1,1,"Share",10900,,"Allentown-Bethlehem-Easton, PA-NJ",0,0.12752676,0.14846399,0.14883272,0.14352892,0.15121546,0.17711186,0.1696146,0.14336674,0.14610252,0.15939997,0.17880423,0.18027274,0.20399123,0.21747716,0.19218203,0.22574465,0.23271394
"main",1,1,"Share",12060,,"Atlanta-Sandy Springs-Roswell, GA",0,0.20453797,0.21025257,0.22240023,0.23835148,0.24578574,0.24563853,0.25093478,0.25390157,0.26121682,0.27219859,0.26964208,0.27323934,0.27540678,0.27234593,0.27690664,0.28341275,0.28743818
"main",1,1,"Share",12260,,"Augusta-Richmond County, GA-SC",0,0.05569778,0.06250174,0.05273655,0.05001134,0.0647193,0.07499402,0.0776824,0.07726444,0.08727803,0.08319806,0.07172223,0.06810705,0.06346811,0.06772689,0.06527702,0.09051115,0.09582967
"main",1,1,"Share",12420,,"Austin-Round Rock, TX",0,0.26522523,0.27249032,0.27543065,0.28827783,0.29734704,0.30168599,0.30832243,0.31086165,0.3222577,0.32946137,0.32113802,0.3198249,0.31731799,0.31935129,0.30903769,0.31863764,0.31196445
"main",1,1,"Share",12540,,"Bakersfield, CA",0,0.40122166,0.4150399,0.40732563,0.42057818,0.43392828,0.41980383,0.43502301,0.44516012,0.41438627,0.42034793,0.43254906,0.40539095,0.38384679,0.39996406,0.4211233,0.41070262,0.39815831
"main",1,1,"Share",12580,,"Baltimore-Columbia-Towson, MD",0,0.10777877,0.11946058,0.1295225,0.13996388,0.1567788,0.16051228,0.15646879,0.15729171,0.1693695,0.19319659,0.19909966,0.20286749,0.20818232,0.20751512,0.20445983,0.23159289,0.23182642
"main",1,1,"Share",12940,,"Baton Rouge, LA",0,0.04144423,0.04378921,0.04626541,0.04687845,0.04646616,0.05273575,0.06764842,0.06733046,0.05678814,0.05352839,0.05955291,0.07357189,0.08053037,0.07724313,0.07054554,0.10331733,0.08535131
"main",1,1,"Share",13820,,"Birmingham-Hoover, AL",0,0.05272511,0.05205263,0.05864253,0.07724185,0.09050445,0.09039286,0.08751898,0.07597032,0.0728384,0.08029777,0.08797619,0.09055673,0.08253747,0.07610117,0.06994579,0.0833705,0.09110588
"main",1,1,"Share",14260,,"Boise City, ID",0,0.13181478,0.13853712,0.15648754,0.15889129,0.15244862,0.15479793,0.15686293,0.15108313,0.14944594,0.14682849,0.13545503,0.12324227,0.13983908,0.14554651,0.14859731,0.17252083,0.16612747
"main",1,1,"Share",14460,,"Boston-Cambridge-Newton, MA-NH",0,0.24817182,0.25059849,0.26232308,0.27090794,0.28004885,0.28482187,0.28671747,0.30140278,0.30980384,0.31530789,0.32195351,0.32032996,0.33360466,0.34520268,0.33548382,0.34824654,0.35248399
"main",1,1,"Share",14860,,"Bridgeport-Stamford-Norwalk, CT",0,0.28181082,0.30260792,0.32895964,0.32923126,0.32317969,0.33114198,0.32816073,0.32903117,0.33866969,0.35855475,0.38473263,0.40393019,0.39893577,0.39316738,0.40208754,0.38847005,0.40239486
"main",1,1,"Share",15380,,"Buffalo-Cheektowaga-Niagara Falls, NY",0,0.06316509,0.06938387,0.06536159,0.07786688,0.09162109,0.0945477,0.09260137,0.09846416,0.11041024,0.11659868,0.12039087,0.11352545,0.11858635,0.12063941,0.13741307,0.14114659,0.13715804
"main",1,1,"Share",15980,,"Cape Coral-Fort Myers, FL",0,0.28351861,0.29231861,0.29575655,0.29959884,0.31077206,0.31705534,0.30303636,0.30324727,0.32205632,0.34872821,0.33444592,0.32939792,0.364728,0.35426486,0.3211455,0.37103751,0.37237522
"main",1,1,"Share",16700,,"Charleston-North Charleston, SC",0,0.06469627,0.07337574,0.07750671,0.08131694,0.10332087,0.09956631,0.07903615,0.08345845,0.09930659,0.11570394,0.1121572,0.09654709,0.10576011,0.12867774,0.13278173,0.12785313,0.12171622
"main",1,1,"Share",16740,,"Charlotte-Concord-Gastonia, NC-SC",0,0.14182644,0.14607279,0.16238424,0.18431507,0.18191308,0.17798766,0.18576638,0.1966594,0.19936904,0.19679907,0.20664622,0.2072901,0.20443346,0.2137417,0.23510943,0.22250013,0.22730963
"main",1,1,"Share",16860,,"Chattanooga, TN-GA",0,0.05493322,0.05238983,0.06831096,0.08199339,0.07661165,0.07560518,0.07479975,0.06966273,0.07966704,0.09534525,0.10695664,0.10897843,0.10893421,0.10720667,0.10806125,0.10892321,0.11373219
"main",1,1,"Share",16980,,"Chicago-Naperville-Elgin, IL-IN-WI",0,0.29210687,0.30021662,0.30179375,0.30904815,0.31349641,0.32268679,0.32830411,0.32676488,0.32391411,0.32522315,0.32507679,0.3289687,0.33612511,0.3257708,0.31978643,0.31948614,0.31829187
"main",1,1,"Share",17140,,"Cincinnati, OH-KY-IN",0,0.05407409,0.055098,0.05402736,0.06443152,0.07310237,0.0688394,0.06863917,0.07786331,0.08412553,0.07736266,0.07654157,0.08555994,0.09705294,0.10041855,0.09754492,0.11639431,0.11049236
"main",1,1,"Share",17460,,"Cleveland-Elyria, OH",0,0.07191237,0.07485325,0.08027741,0.08376313,0.08027229,0.08210394,0.08136111,0.07706589,0.07921227,0.08140197,0.08957844,0.09756237,0.09746095,0.09978075,0.09661719,0.10753546,0.10565794
"main",1,1,"Share",17820,,"Colorado Springs, CO",0,0.13614939,0.12519205,0.12835202,0.13893133,0.14074497,0.13763909,0.13244277,0.13453147,0.13826559,0.14265488,0.13481507,0.12885681,0.15114617,0.13678381,0.14444304,0.14093922,0.14336377
"main",1,1,"Share",17900,,"Columbia, SC",0,0.05844762,0.07547014,0.08341235,0.08373626,0.08554411,0.07962605,0.08574892,0.08629928,0.09385883,0.09464269,0.09054533,0.09636944,0.09723523,0.10876162,0.11091084,0.11937846,0.10884575
"main",1,1,"Share",18140,,"Columbus, OH",0,0.09221693,0.09484136,0.10381445,0.112077,0.12367691,0.12430573,0.1320723,0.14856943,0.14700076,0.15203901,0.15088287,0.15162033,0.16775048,0.18049514,0.18493876,0.18668942,0.20676357
"main",1,1,"Share",19100,,"Dallas-Fort Worth-Arlington, TX",0,0.3239156,0.32922965,0.33279335,0.34655333,0.35463926,0.35486466,0.3600117,0.36162838,0.36490867,0.36867979,0.37060198,0.37599546,0.37845045,0.37479481,0.3596791,0.37388152,0.37078699
"main",1,1,"Share",19380,,"Dayton, OH",0,0.03835426,0.03653929,0.05441022,0.06247684,0.0698174,0.06854656,0.0562364,0.06140213,0.06877128,0.07464326,0.07062656,0.07580588,0.0760122,0.06529569,0.07888582,0.07873437,0.08480853
"main",1,1,"Share",19660,,"Deltona-Daytona Beach-Ormond Beach, FL",0,0.1246457,0.13988613,0.14238973,0.13934395,0.14102842,0.1507372,0.13956337,0.13189858,0.15496254,0.16561449,0.15453111,0.13972363,0.15184657,0.15964566,0.14003116,0.20404729,0.17208368
"main",1,1,"Share",19740,,"Denver-Aurora-Lakewood, CO",0,0.24227573,0.24530247,0.25654584,0.25311759,0.2540172,0.26009563,0.26137689,0.27015889,0.27060071,0.26922175,0.27578074,0.27707067,0.27301213,0.27165505,0.25285301,0.26105672,0.26755664
"main",1,1,"Share",19780,,"Des Moines-West Des Moines, IA",0,0.11376011,0.11890976,0.13178584,0.13581471,0.14679754,0.15410729,0.13860293,0.14987905,0.17930347,0.17528534,0.16817224,0.15873195,0.15156694,0.16916946,0.19305293,0.21289089,0.20483598
"main",1,1,"Share",19820,,"Detroit-Warren-Dearborn, MI",0,0.14184412,0.14486137,0.14675026,0.14699255,0.15024965,0.15481335,0.1683057,0.18119174,0.18291584,0.1861877,0.18724884,0.19089073,0.20311594,0.19905119,0.19232698,0.20477934,0.2014076
"main",1,1,"Share",21340,,"El Paso, TX",0,0.50666809,0.48614311,0.4977771,0.4808538,0.46730551,0.4744924,0.46066409,0.44210288,0.44054607,0.42986211,0.40012562,0.40827468,0.42261356,0.38405988,0.36641297,0.38209751,0.3792012
"main",1,1,"Share",23420,,"Fresno, CA",0,0.44384572,0.44347444,0.42758128,0.42892471,0.44405043,0.44455391,0.44705069,0.44195855,0.43052864,0.43821922,0.44233954,0.41437048,0.4132677,0.42202243,0.40533528,0.42219308,0.41081911
"main",1,1,"Share",24340,,"Grand Rapids-Wyoming, MI",0,0.10905998,0.11734062,0.11423948,0.107445,0.10814457,0.12204551,0.12789227,0.1294529,0.13785474,0.12892602,0.13192669,0.14296111,0.13835044,0.13246803,0.13119517,0.13504337,0.13551739
"main",1,1,"Share",24660,,"Greensboro-High Point, NC",0,0.13960683,0.13987629,0.15850282,0.1566928,0.16188237,0.16396566,0.18523709,0.2059914,0.20579571,0.20015937,0.2056635,0.209905,0.2013803,0.21051705,0.19729301,0.20756762,0.21383744
"main",1,1,"Share",24860,,"Greenville-Anderson-Mauldin, SC",0,0.08851542,0.09587289,0.09040944,0.11290733,0.12754653,0.1114711,0.10897557,0.1125279,0.11244228,0.12143223,0.12571883,0.12651289,0.13635559,0.15164948,0.15686086,0.14398375,0.13449788
"main",1,1,"Share",25420,,"Harrisburg-Carlisle, PA",0,0.0647323,0.08234201,0.08060858,0.08346357,0.08040243,0.08390229,0.09844583,0.11382982,0.13330388,0.1107719,0.09890001,0.12515356,0.12470344,0.10707624,0.11589936,0.17702587,0.17558387
"main",1,1,"Share",25540,,"Hartford-West Hartford-East Hartford, CT",0,0.1686268,0.1819389,0.17305648,0.192377,0.20213175,0.198607,0.19908394,0.21465392,0.21258591,0.20421919,0.21072233,0.22549802,0.2433667,0.23582785,0.2294466,0.24461563,0.24217834
"main",1,1,"Share",26420,,"Houston-The Woodlands-Sugar Land, TX",0,0.38481462,0.38563502,0.3929247,0.40524328,0.41473046,0.42123321,0.42119613,0.41902804,0.41789845,0.42553189,0.42520049,0.43209776,0.4376449,0.43011346,0.4273378,0.43897259,0.43015465
"main",1,1,"Share",26900,,"Indianapolis-Carmel-Anderson, IN",0,0.07818263,0.08764464,0.09978385,0.10543804,0.10865465,0.11381651,0.11647793,0.1177028,0.12783232,0.13500082,0.13878046,0.15398115,0.15695256,0.15465602,0.1656357,0.17040095,0.18692033
"main",1,1,"Share",27140,,"Jackson, MS",0,0.02708776,0.02133382,0.02595175,0.03178313,0.03055455,0.03020527,0.02623072,0.03174427,0.03398004,0.03643673,0.04136989,0.0372494,0.03940661,0.05312671,0.0556348,0.06660867,0.06087257
"main",1,1,"Share",27260,,"Jacksonville, FL",0,0.11276329,0.11395888,0.11372534,0.13265792,0.13940582,0.13173918,0.13068739,0.1465674,0.14598751,0.14346895,0.15499939,0.16757017,0.18108422,0.1722094,0.15600587,0.18820041,0.18565756
"main",1,1,"Share",28140,,"Kansas City, MO-KS",0,0.10140321,0.10365468,0.11315876,0.11554091,0.11109801,0.12288056,0.12519759,0.12874709,0.14112397,0.13806556,0.14114554,0.14139718,0.14945163,0.15169255,0.13997105,0.16270694,0.15311533
"main",1,1,"Share",28940,,"Knoxville, TN",0,0.046528,0.05617305,0.06133941,0.06320676,0.07674613,0.08642093,0.08363433,0.07648985,0.07800562,0.08948185,0.09056509,0.08946988,0.09050568,0.09499202,0.10323401,0.10485321,0.11362682
"main",1,1,"Share",29460,,"Lakeland-Winter Haven, FL",0,0.17937131,0.18279538,0.19653386,0.21475689,0.2262633,0.21773033,0.21569313,0.19900885,0.19468978,0.20520271,0.20328137,0.21039985,0.19786711,0.18321359,0.20856005,0.24945536,0.24541245
"main",1,1,"Share",29820,,"Las Vegas-Henderson-Paradise, NV",0,0.37197116,0.40147802,0.40510383,0.39724204,0.4044117,0.41125575,0.40467715,0.40563974,0.41008154,0.4020355,0.40364793,0.41308984,0.40070558,0.40112334,0.39835739,0.37373689,0.37260851
"main",1,1,"Share",30780,,"Little Rock-North Little Rock-Conway, AR",0,0.06130506,0.0696834,0.0854455,0.08656649,0.07827701,0.07327761,0.07398448,0.07232488,0.07830595,0.08684155,0.08228412,0.08422032,0.08850871,0.08831991,0.07784314,0.10820667,0.10229111
"main",1,1,"Share",31080,,"Los Angeles-Long Beach-Anaheim, CA",0,0.59410667,0.59560245,0.59461719,0.59338588,0.59222353,0.58558965,0.58548546,0.58455086,0.57433683,0.56866145,0.56698513,0.5581851,0.54710823,0.54384208,0.53693068,0.52131009,0.52035689
"main",1,1,"Share",31140,,"Louisville/Jefferson County, KY-IN",0,0.05499782,0.05961651,0.06804859,0.07746466,0.0844285,0.09606268,0.11174975,0.11125019,0.09503579,0.10259554,0.11657076,0.11230933,0.12631549,0.14570612,0.11983453,0.15011798,0.14460118
"main",1,1,"Share",31540,,"Madison, WI",0,0.09782082,0.10122941,0.10858366,0.09738497,0.10848033,0.14066696,0.14252709,0.14637643,0.14426622,0.14858465,0.17111403,0.16569363,0.16134335,0.15037264,0.17536259,0.16690454,0.14818659
"main",1,1,"Share",32580,,"McAllen-Edinburg-Mission, TX",0,0.55584294,0.56716388,0.57301652,0.58435261,0.58438969,0.5903663,0.59210473,0.57728255,0.56814378,0.55078477,0.55223554,0.5491814,0.55999732,0.56370836,0.5323922,0.51553392,0.51157957
"main",1,1,"Share",32820,,"Memphis, TN-MS-AR",0,0.07306997,0.07402841,0.0810097,0.08877896,0.09325895,0.09482144,0.10027124,0.10359148,0.10251879,0.10736426,0.11962304,0.11826006,0.11445141,0.11856718,0.11104511,0.1367427,0.13341756
"main",1,1,"Share",33100,,"Miami-Fort Lauderdale-West Palm Beach, FL",0,0.53814071,0.53773153,0.53398329,0.53967643,0.54652971,0.55005956,0.55706489,0.56353235,0.55672359,0.56166899,0.57890558,0.59111106,0.58827466,0.57801509,0.58263242,0.59229946,0.59366673
